A1 (X: 945, Y: 215)
B1 (X: 975, Y: 215)
C1 (X: 1005, Y: 215)
D1 (X: 1035, Y: 215)
E1 (X: 1065, Y: 215)
F1 (X: 1095, Y: 215)
G1 (X: 1125, Y: 215)
H1 (X: 1155, Y: 215)
I1 (X: 1185, Y: 215)
J1 (X: 1215, Y: 215)
A2 (X: 945, Y: 245)
B2 (X: 975, Y: 245)
C2 (X: 1005, Y: 245)
D2 (X: 1035, Y: 245)
E2 (X: 1065, Y: 245)
F2 (X: 1095, Y: 245)
G2 (X: 1125, Y: 245)
H2 (X: 1155, Y: 245)
I2 (X: 1185, Y: 245)
J2 (X: 1215, Y: 245)
A3 (X: 945, Y: 275)
B3 (X: 975, Y: 275)
C3 (X: 1005, Y: 275)
D3 (X: 1035, Y: 275)
E3 (X: 1065, Y: 275)
F3 (X: 1095, Y: 275)
G3 (X: 1125, Y: 275)
H3 (X: 1155, Y: 275)
I3 (X: 1185, Y: 275)
J3 (X: 1215, Y: 275)
A4 (X: 945, Y: 305)
B4 (X: 975, Y: 305)
C4 (X: 1005, Y: 305)
D4 (X: 1035, Y: 305)
E4 (X: 1065, Y: 305)
F4 (X: 1095, Y: 305)
G4 (X: 1125, Y: 305)
H4 (X: 1155, Y: 305)
I4 (X: 1185, Y: 305)
J4 (X: 1215, Y: 305)
A5 (X: 945, Y: 335)
B5 (X: 975, Y: 335)
C5 (X: 1005, Y: 335)
D5 (X: 1035, Y: 335)
E5 (X: 1065, Y: 335)
F5 (X: 1095, Y: 335)
G5 (X: 1125, Y: 335)
H5 (X: 1155, Y: 335)
I5 (X: 1185, Y: 335)
J5 (X: 1215, Y: 335)
A6 (X: 945, Y: 365)
B6 (X: 975, Y: 365)
C6 (X: 1005, Y: 365)
D6 (X: 1035, Y: 365)
E6 (X: 1065, Y: 365)
F6 (X: 1095, Y: 365)
G6 (X: 1125, Y: 365)
H6 (X: 1155, Y: 365)
I6 (X: 1185, Y: 365)
J6 (X: 1215, Y: 365)
A7 (X: 945, Y: 395)
B7 (X: 975, Y: 395)
C7 (X: 1005, Y: 395)
D7 (X: 1035, Y: 395)
E7 (X: 1065, Y: 395)
F7 (X: 1095, Y: 395)
G7 (X: 1125, Y: 395)
H7 (X: 1155, Y: 395)
I7 (X: 1185, Y: 395)
J7 (X: 1215, Y: 395)
A8 (X: 945, Y: 425)
B8 (X: 975, Y: 425)
C8 (X: 1005, Y: 425)
D8 (X: 1035, Y: 425)
E8 (X: 1065, Y: 425)
F8 (X: 1095, Y: 425)
G8 (X: 1125, Y: 425)
H8 (X: 1155, Y: 425)
I8 (X: 1185, Y: 425)
J8 (X: 1215, Y: 425)
A9 (X: 945, Y: 455)
B9 (X: 975, Y: 455)
C9 (X: 1005, Y: 455)
D9 (X: 1035, Y: 455)
E9 (X: 1065, Y: 455)
F9 (X: 1095, Y: 455)
G9 (X: 1125, Y: 455)
H9 (X: 1155, Y: 455)
I9 (X: 1185, Y: 455)
J9 (X: 1215, Y: 455)
A10 (X: 945, Y: 485)
B10 (X: 975, Y: 485)
C10 (X: 1005, Y: 485)
D10 (X: 1035, Y: 485)
E10 (X: 1065, Y: 485)
F10 (X: 1095, Y: 485)
G10 (X: 1125, Y: 485)
H10 (X: 1155, Y: 485)
I10 (X: 1185, Y: 485)
J10 (X: 1215, Y: 485)
