A1 (X: 730, Y: 215)
B1 (X: 760, Y: 215)
C1 (X: 790, Y: 215)
D1 (X: 820, Y: 215)
E1 (X: 850, Y: 215)
F1 (X: 880, Y: 215)
G1 (X: 910, Y: 215)
H1 (X: 940, Y: 215)
I1 (X: 970, Y: 215)
J1 (X: 1000, Y: 215)
A2 (X: 730, Y: 245)
B2 (X: 760, Y: 245)
C2 (X: 790, Y: 245)
D2 (X: 820, Y: 245)
E2 (X: 850, Y: 245)
F2 (X: 880, Y: 245)
G2 (X: 910, Y: 245)
H2 (X: 940, Y: 245)
I2 (X: 970, Y: 245)
J2 (X: 1000, Y: 245)
A3 (X: 730, Y: 275)
B3 (X: 760, Y: 275)
C3 (X: 790, Y: 275)
D3 (X: 820, Y: 275)
E3 (X: 850, Y: 275)
F3 (X: 880, Y: 275)
G3 (X: 910, Y: 275)
H3 (X: 940, Y: 275)
I3 (X: 970, Y: 275)
J3 (X: 1000, Y: 275)
A4 (X: 730, Y: 305)
B4 (X: 760, Y: 305)
C4 (X: 790, Y: 305)
D4 (X: 820, Y: 305)
E4 (X: 850, Y: 305)
F4 (X: 880, Y: 305)
G4 (X: 910, Y: 305)
H4 (X: 940, Y: 305)
I4 (X: 970, Y: 305)
J4 (X: 1000, Y: 305)
A5 (X: 730, Y: 335)
B5 (X: 760, Y: 335)
C5 (X: 790, Y: 335)
D5 (X: 820, Y: 335)
E5 (X: 850, Y: 335)
F5 (X: 880, Y: 335)
G5 (X: 910, Y: 335)
H5 (X: 940, Y: 335)
I5 (X: 970, Y: 335)
J5 (X: 1000, Y: 335)
A6 (X: 730, Y: 365)
B6 (X: 760, Y: 365)
C6 (X: 790, Y: 365)
D6 (X: 820, Y: 365)
E6 (X: 850, Y: 365)
F6 (X: 880, Y: 365)
G6 (X: 910, Y: 365)
H6 (X: 940, Y: 365)
I6 (X: 970, Y: 365)
J6 (X: 1000, Y: 365)
A7 (X: 730, Y: 395)
B7 (X: 760, Y: 395)
C7 (X: 790, Y: 395)
D7 (X: 820, Y: 395)
E7 (X: 850, Y: 395)
F7 (X: 880, Y: 395)
G7 (X: 910, Y: 395)
H7 (X: 940, Y: 395)
I7 (X: 970, Y: 395)
J7 (X: 1000, Y: 395)
A8 (X: 730, Y: 425)
B8 (X: 760, Y: 425)
C8 (X: 790, Y: 425)
D8 (X: 820, Y: 425)
E8 (X: 850, Y: 425)
F8 (X: 880, Y: 425)
G8 (X: 910, Y: 425)
H8 (X: 940, Y: 425)
I8 (X: 970, Y: 425)
J8 (X: 1000, Y: 425)
A9 (X: 730, Y: 455)
B9 (X: 760, Y: 455)
C9 (X: 790, Y: 455)
D9 (X: 820, Y: 455)
E9 (X: 850, Y: 455)
F9 (X: 880, Y: 455)
G9 (X: 910, Y: 455)
H9 (X: 940, Y: 455)
I9 (X: 970, Y: 455)
J9 (X: 1000, Y: 455)
A10 (X: 730, Y: 485)
B10 (X: 760, Y: 485)
C10 (X: 790, Y: 485)
D10 (X: 820, Y: 485)
E10 (X: 850, Y: 485)
F10 (X: 880, Y: 485)
G10 (X: 910, Y: 485)
H10 (X: 940, Y: 485)
I10 (X: 970, Y: 485)
J10 (X: 1000, Y: 485)
